state,load_value,time
CHANDIGARH,204,1713004978.685282
HARYANA,5534,1713004978.685282
HIMACHAL,1371,1713004978.685282
J & K,2083,1713004978.685282
PUNJAB,5839,1713004978.685282
RAJASTHAN,10586,1713004978.685282
UTTARAKHAND,1723,1713004978.685282
UTTAR-PRADESH,14600,1713004978.685282
CHANDIGARH,203,1713005807.3889155
HARYANA,5525,1713005807.3889155
HIMACHAL,1363,1713005807.3889155
J & K,2013,1713005807.3889155
PUNJAB,5839,1713005807.3889155
RAJASTHAN,10518,1713005807.3889155
UTTARAKHAND,1744,1713005807.3889155
UTTAR-PRADESH,14631,1713005807.3889155
CHANDIGARH,204,1713006707.6906426
HARYANA,5507,1713006707.6906426
HIMACHAL,1343,1713006707.6906426
J & K,2000,1713006707.6906426
PUNJAB,5775,1713006707.6906426
RAJASTHAN,10304,1713006707.6906426
UTTARAKHAND,1777,1713006707.6906426
UTTAR-PRADESH,14671,1713006707.6906426
CHANDIGARH,203,1713007640.730157
HARYANA,5426,1713007640.730157
HIMACHAL,1337,1713007640.730157
J & K,2047,1713007640.730157
PUNJAB,5828,1713007640.730157
RAJASTHAN,10201,1713007640.730157
UTTARAKHAND,1805,1713007640.730157
UTTAR-PRADESH,14661,1713007640.730157
CHANDIGARH,206,1713008507.6426842
HARYANA,5383,1713008507.6426842
HIMACHAL,1337,1713008507.6426842
J & K,2060,1713008507.6426842
PUNJAB,5835,1713008507.6426842
RAJASTHAN,9928,1713008507.6426842
UTTARAKHAND,1815,1713008507.6426842
UTTAR-PRADESH,14937,1713008507.6426842
CHANDIGARH,208,1713009407.7405174
HARYANA,5020,1713009407.7405174
HIMACHAL,1314,1713009407.7405174
J & K,2166,1713009407.7405174
PUNJAB,5916,1713009407.7405174
RAJASTHAN,9797,1713009407.7405174
UTTARAKHAND,1822,1713009407.7405174
UTTAR-PRADESH,15578,1713009407.7405174
CHANDIGARH,207,1713010307.4350052
HARYANA,5147,1713010307.4350052
HIMACHAL,1302,1713010307.4350052
J & K,2031,1713010307.4350052
PUNJAB,6006,1713010307.4350052
RAJASTHAN,9598,1713010307.4350052
UTTARAKHAND,1867,1713010307.4350052
UTTAR-PRADESH,15769,1713010307.4350052
