State,Value,Timestamp,Datetime,Formatted Date
CHANDIGARH,204,1713004978.685282,2024-04-13 16:12:58.685282,2024-04-13 16:12:58
HARYANA,5534,1713004978.685282,2024-04-13 16:12:58.685282,2024-04-13 16:12:58
HIMACHAL,1371,1713004978.685282,2024-04-13 16:12:58.685282,2024-04-13 16:12:58
J & K,2083,1713004978.685282,2024-04-13 16:12:58.685282,2024-04-13 16:12:58
PUNJAB,5839,1713004978.685282,2024-04-13 16:12:58.685282,2024-04-13 16:12:58
RAJASTHAN,10586,1713004978.685282,2024-04-13 16:12:58.685282,2024-04-13 16:12:58
UTTARAKHAND,1723,1713004978.685282,2024-04-13 16:12:58.685282,2024-04-13 16:12:58
UTTAR-PRADESH,14600,1713004978.685282,2024-04-13 16:12:58.685282,2024-04-13 16:12:58
CHANDIGARH,203,1713005807.3889155,2024-04-13 16:26:47.388916,2024-04-13 16:26:47
HARYANA,5525,1713005807.3889155,2024-04-13 16:26:47.388916,2024-04-13 16:26:47
HIMACHAL,1363,1713005807.3889155,2024-04-13 16:26:47.388916,2024-04-13 16:26:47
J & K,2013,1713005807.3889155,2024-04-13 16:26:47.388916,2024-04-13 16:26:47
PUNJAB,5839,1713005807.3889155,2024-04-13 16:26:47.388916,2024-04-13 16:26:47
RAJASTHAN,10518,1713005807.3889155,2024-04-13 16:26:47.388916,2024-04-13 16:26:47
UTTARAKHAND,1744,1713005807.3889155,2024-04-13 16:26:47.388916,2024-04-13 16:26:47
UTTAR-PRADESH,14631,1713005807.3889155,2024-04-13 16:26:47.388916,2024-04-13 16:26:47
CHANDIGARH,204,1713006707.6906426,2024-04-13 16:41:47.690643,2024-04-13 16:41:47
HARYANA,5507,1713006707.6906426,2024-04-13 16:41:47.690643,2024-04-13 16:41:47
HIMACHAL,1343,1713006707.6906426,2024-04-13 16:41:47.690643,2024-04-13 16:41:47
J & K,2000,1713006707.6906426,2024-04-13 16:41:47.690643,2024-04-13 16:41:47
PUNJAB,5775,1713006707.6906426,2024-04-13 16:41:47.690643,2024-04-13 16:41:47
RAJASTHAN,10304,1713006707.6906426,2024-04-13 16:41:47.690643,2024-04-13 16:41:47
UTTARAKHAND,1777,1713006707.6906426,2024-04-13 16:41:47.690643,2024-04-13 16:41:47
UTTAR-PRADESH,14671,1713006707.6906426,2024-04-13 16:41:47.690643,2024-04-13 16:41:47
CHANDIGARH,203,1713007640.730157,2024-04-13 16:57:20.730157,2024-04-13 16:57:20
HARYANA,5426,1713007640.730157,2024-04-13 16:57:20.730157,2024-04-13 16:57:20
HIMACHAL,1337,1713007640.730157,2024-04-13 16:57:20.730157,2024-04-13 16:57:20
J & K,2047,1713007640.730157,2024-04-13 16:57:20.730157,2024-04-13 16:57:20
PUNJAB,5828,1713007640.730157,2024-04-13 16:57:20.730157,2024-04-13 16:57:20
RAJASTHAN,10201,1713007640.730157,2024-04-13 16:57:20.730157,2024-04-13 16:57:20
UTTARAKHAND,1805,1713007640.730157,2024-04-13 16:57:20.730157,2024-04-13 16:57:20
UTTAR-PRADESH,14661,1713007640.730157,2024-04-13 16:57:20.730157,2024-04-13 16:57:20
CHANDIGARH,206,1713008507.6426842,2024-04-13 17:11:47.642684,2024-04-13 17:11:47
HARYANA,5383,1713008507.6426842,2024-04-13 17:11:47.642684,2024-04-13 17:11:47
HIMACHAL,1337,1713008507.6426842,2024-04-13 17:11:47.642684,2024-04-13 17:11:47
J & K,2060,1713008507.6426842,2024-04-13 17:11:47.642684,2024-04-13 17:11:47
PUNJAB,5835,1713008507.6426842,2024-04-13 17:11:47.642684,2024-04-13 17:11:47
RAJASTHAN,9928,1713008507.6426842,2024-04-13 17:11:47.642684,2024-04-13 17:11:47
UTTARAKHAND,1815,1713008507.6426842,2024-04-13 17:11:47.642684,2024-04-13 17:11:47
UTTAR-PRADESH,14937,1713008507.6426842,2024-04-13 17:11:47.642684,2024-04-13 17:11:47
CHANDIGARH,208,1713009407.7405174,2024-04-13 17:26:47.740517,2024-04-13 17:26:47
HARYANA,5020,1713009407.7405174,2024-04-13 17:26:47.740517,2024-04-13 17:26:47
HIMACHAL,1314,1713009407.7405174,2024-04-13 17:26:47.740517,2024-04-13 17:26:47
J & K,2166,1713009407.7405174,2024-04-13 17:26:47.740517,2024-04-13 17:26:47
PUNJAB,5916,1713009407.7405174,2024-04-13 17:26:47.740517,2024-04-13 17:26:47
RAJASTHAN,9797,1713009407.7405174,2024-04-13 17:26:47.740517,2024-04-13 17:26:47
UTTARAKHAND,1822,1713009407.7405174,2024-04-13 17:26:47.740517,2024-04-13 17:26:47
UTTAR-PRADESH,15578,1713009407.7405174,2024-04-13 17:26:47.740517,2024-04-13 17:26:47
CHANDIGARH,207,1713010307.4350052,2024-04-13 17:41:47.435005,2024-04-13 17:41:47
HARYANA,5147,1713010307.4350052,2024-04-13 17:41:47.435005,2024-04-13 17:41:47
HIMACHAL,1302,1713010307.4350052,2024-04-13 17:41:47.435005,2024-04-13 17:41:47
J & K,2031,1713010307.4350052,2024-04-13 17:41:47.435005,2024-04-13 17:41:47
PUNJAB,6006,1713010307.4350052,2024-04-13 17:41:47.435005,2024-04-13 17:41:47
RAJASTHAN,9598,1713010307.4350052,2024-04-13 17:41:47.435005,2024-04-13 17:41:47
UTTARAKHAND,1867,1713010307.4350052,2024-04-13 17:41:47.435005,2024-04-13 17:41:47
UTTAR-PRADESH,15769,1713010307.4350052,2024-04-13 17:41:47.435005,2024-04-13 17:41:47
CHANDIGARH,208,1713011238.957702,2024-04-13 17:57:18.957702,2024-04-13 17:57:18
HARYANA,5242,1713011238.957702,2024-04-13 17:57:18.957702,2024-04-13 17:57:18
HIMACHAL,1298,1713011238.957702,2024-04-13 17:57:18.957702,2024-04-13 17:57:18
J & K,2056,1713011238.957702,2024-04-13 17:57:18.957702,2024-04-13 17:57:18
PUNJAB,6083,1713011238.957702,2024-04-13 17:57:18.957702,2024-04-13 17:57:18
RAJASTHAN,9517,1713011238.957702,2024-04-13 17:57:18.957702,2024-04-13 17:57:18
UTTARAKHAND,1855,1713011238.957702,2024-04-13 17:57:18.957702,2024-04-13 17:57:18
UTTAR-PRADESH,15799,1713011238.957702,2024-04-13 17:57:18.957702,2024-04-13 17:57:18
CHANDIGARH,213,1713012107.4563558,2024-04-13 18:11:47.456356,2024-04-13 18:11:47
HARYANA,5478,1713012107.4563558,2024-04-13 18:11:47.456356,2024-04-13 18:11:47
HIMACHAL,1304,1713012107.4563558,2024-04-13 18:11:47.456356,2024-04-13 18:11:47
J & K,2120,1713012107.4563558,2024-04-13 18:11:47.456356,2024-04-13 18:11:47
PUNJAB,6231,1713012107.4563558,2024-04-13 18:11:47.456356,2024-04-13 18:11:47
RAJASTHAN,9240,1713012107.4563558,2024-04-13 18:11:47.456356,2024-04-13 18:11:47
UTTARAKHAND,1887,1713012107.4563558,2024-04-13 18:11:47.456356,2024-04-13 18:11:47
UTTAR-PRADESH,16562,1713012107.4563558,2024-04-13 18:11:47.456356,2024-04-13 18:11:47
CHANDIGARH,214,1713013038.4409187,2024-04-13 18:27:18.440919,2024-04-13 18:27:18
HARYANA,5816,1713013038.4409187,2024-04-13 18:27:18.440919,2024-04-13 18:27:18
HIMACHAL,1293,1713013038.4409187,2024-04-13 18:27:18.440919,2024-04-13 18:27:18
J & K,2113,1713013038.4409187,2024-04-13 18:27:18.440919,2024-04-13 18:27:18
PUNJAB,6288,1713013038.4409187,2024-04-13 18:27:18.440919,2024-04-13 18:27:18
RAJASTHAN,9076,1713013038.4409187,2024-04-13 18:27:18.440919,2024-04-13 18:27:18
UTTARAKHAND,1918,1713013038.4409187,2024-04-13 18:27:18.440919,2024-04-13 18:27:18
UTTAR-PRADESH,17472,1713013038.4409187,2024-04-13 18:27:18.440919,2024-04-13 18:27:18
CHANDIGARH,218,1713013907.8358078,2024-04-13 18:41:47.835808,2024-04-13 18:41:47
HARYANA,5927,1713013907.8358078,2024-04-13 18:41:47.835808,2024-04-13 18:41:47
HIMACHAL,1295,1713013907.8358078,2024-04-13 18:41:47.835808,2024-04-13 18:41:47
J & K,2138,1713013907.8358078,2024-04-13 18:41:47.835808,2024-04-13 18:41:47
PUNJAB,6337,1713013907.8358078,2024-04-13 18:41:47.835808,2024-04-13 18:41:47
RAJASTHAN,9186,1713013907.8358078,2024-04-13 18:41:47.835808,2024-04-13 18:41:47
UTTARAKHAND,1949,1713013907.8358078,2024-04-13 18:41:47.835808,2024-04-13 18:41:47
UTTAR-PRADESH,18708,1713013907.8358078,2024-04-13 18:41:47.835808,2024-04-13 18:41:47
CHANDIGARH,222,1713014839.1964343,2024-04-13 18:57:19.196434,2024-04-13 18:57:19
HARYANA,6219,1713014839.1964343,2024-04-13 18:57:19.196434,2024-04-13 18:57:19
HIMACHAL,1314,1713014839.1964343,2024-04-13 18:57:19.196434,2024-04-13 18:57:19
J & K,2160,1713014839.1964343,2024-04-13 18:57:19.196434,2024-04-13 18:57:19
PUNJAB,6355,1713014839.1964343,2024-04-13 18:57:19.196434,2024-04-13 18:57:19
RAJASTHAN,9285,1713014839.1964343,2024-04-13 18:57:19.196434,2024-04-13 18:57:19
UTTARAKHAND,1948,1713014839.1964343,2024-04-13 18:57:19.196434,2024-04-13 18:57:19
UTTAR-PRADESH,19413,1713014839.1964343,2024-04-13 18:57:19.196434,2024-04-13 18:57:19
CHANDIGARH,226,1713015707.298522,2024-04-13 19:11:47.298522,2024-04-13 19:11:47
HARYANA,6896,1713015707.298522,2024-04-13 19:11:47.298522,2024-04-13 19:11:47
HIMACHAL,1320,1713015707.298522,2024-04-13 19:11:47.298522,2024-04-13 19:11:47
J & K,2351,1713015707.298522,2024-04-13 19:11:47.298522,2024-04-13 19:11:47
PUNJAB,6482,1713015707.298522,2024-04-13 19:11:47.298522,2024-04-13 19:11:47
RAJASTHAN,9558,1713015707.298522,2024-04-13 19:11:47.298522,2024-04-13 19:11:47
UTTARAKHAND,1921,1713015707.298522,2024-04-13 19:11:47.298522,2024-04-13 19:11:47
UTTAR-PRADESH,20335,1713015707.298522,2024-04-13 19:11:47.298522,2024-04-13 19:11:47
CHANDIGARH,225,1713016640.5333571,2024-04-13 19:27:20.533357,2024-04-13 19:27:20
HARYANA,7300,1713016640.5333571,2024-04-13 19:27:20.533357,2024-04-13 19:27:20
HIMACHAL,1338,1713016640.5333571,2024-04-13 19:27:20.533357,2024-04-13 19:27:20
J & K,2306,1713016640.5333571,2024-04-13 19:27:20.533357,2024-04-13 19:27:20
PUNJAB,6531,1713016640.5333571,2024-04-13 19:27:20.533357,2024-04-13 19:27:20
RAJASTHAN,9823,1713016640.5333571,2024-04-13 19:27:20.533357,2024-04-13 19:27:20
UTTARAKHAND,1884,1713016640.5333571,2024-04-13 19:27:20.533357,2024-04-13 19:27:20
UTTAR-PRADESH,20751,1713016640.5333571,2024-04-13 19:27:20.533357,2024-04-13 19:27:20
CHANDIGARH,226,1713017507.634702,2024-04-13 19:41:47.634702,2024-04-13 19:41:47
HARYANA,7297,1713017507.634702,2024-04-13 19:41:47.634702,2024-04-13 19:41:47
HIMACHAL,1442,1713017507.634702,2024-04-13 19:41:47.634702,2024-04-13 19:41:47
J & K,2303,1713017507.634702,2024-04-13 19:41:47.634702,2024-04-13 19:41:47
PUNJAB,6464,1713017507.634702,2024-04-13 19:41:47.634702,2024-04-13 19:41:47
RAJASTHAN,9927,1713017507.634702,2024-04-13 19:41:47.634702,2024-04-13 19:41:47
UTTARAKHAND,1734,1713017507.634702,2024-04-13 19:41:47.634702,2024-04-13 19:41:47
UTTAR-PRADESH,21038,1713017507.634702,2024-04-13 19:41:47.634702,2024-04-13 19:41:47
CHANDIGARH,221,1713018472.7692668,2024-04-13 19:57:52.769267,2024-04-13 19:57:52
HARYANA,7313,1713018472.7692668,2024-04-13 19:57:52.769267,2024-04-13 19:57:52
HIMACHAL,1326,1713018472.7692668,2024-04-13 19:57:52.769267,2024-04-13 19:57:52
J & K,2294,1713018472.7692668,2024-04-13 19:57:52.769267,2024-04-13 19:57:52
PUNJAB,6330,1713018472.7692668,2024-04-13 19:57:52.769267,2024-04-13 19:57:52
RAJASTHAN,9873,1713018472.7692668,2024-04-13 19:57:52.769267,2024-04-13 19:57:52
UTTARAKHAND,1774,1713018472.7692668,2024-04-13 19:57:52.769267,2024-04-13 19:57:52
UTTAR-PRADESH,21236,1713018472.7692668,2024-04-13 19:57:52.769267,2024-04-13 19:57:52
CHANDIGARH,217,1713019307.2638814,2024-04-13 20:11:47.263881,2024-04-13 20:11:47
HARYANA,7202,1713019307.2638814,2024-04-13 20:11:47.263881,2024-04-13 20:11:47
HIMACHAL,1255,1713019307.2638814,2024-04-13 20:11:47.263881,2024-04-13 20:11:47
J & K,2345,1713019307.2638814,2024-04-13 20:11:47.263881,2024-04-13 20:11:47
PUNJAB,6155,1713019307.2638814,2024-04-13 20:11:47.263881,2024-04-13 20:11:47
RAJASTHAN,9812,1713019307.2638814,2024-04-13 20:11:47.263881,2024-04-13 20:11:47
UTTARAKHAND,1782,1713019307.2638814,2024-04-13 20:11:47.263881,2024-04-13 20:11:47
UTTAR-PRADESH,21067,1713019307.2638814,2024-04-13 20:11:47.263881,2024-04-13 20:11:47
CHANDIGARH,214,1713020238.7871711,2024-04-13 20:27:18.787171,2024-04-13 20:27:18
HARYANA,7310,1713020238.7871711,2024-04-13 20:27:18.787171,2024-04-13 20:27:18
HIMACHAL,1295,1713020238.7871711,2024-04-13 20:27:18.787171,2024-04-13 20:27:18
J & K,2242,1713020238.7871711,2024-04-13 20:27:18.787171,2024-04-13 20:27:18
PUNJAB,6040,1713020238.7871711,2024-04-13 20:27:18.787171,2024-04-13 20:27:18
RAJASTHAN,9834,1713020238.7871711,2024-04-13 20:27:18.787171,2024-04-13 20:27:18
UTTARAKHAND,1795,1713020238.7871711,2024-04-13 20:27:18.787171,2024-04-13 20:27:18
UTTAR-PRADESH,21061,1713020238.7871711,2024-04-13 20:27:18.787171,2024-04-13 20:27:18
CHANDIGARH,210,1713021107.6878572,2024-04-13 20:41:47.687857,2024-04-13 20:41:47
HARYANA,7383,1713021107.6878572,2024-04-13 20:41:47.687857,2024-04-13 20:41:47
HIMACHAL,1270,1713021107.6878572,2024-04-13 20:41:47.687857,2024-04-13 20:41:47
J & K,2353,1713021107.6878572,2024-04-13 20:41:47.687857,2024-04-13 20:41:47
PUNJAB,6038,1713021107.6878572,2024-04-13 20:41:47.687857,2024-04-13 20:41:47
RAJASTHAN,9676,1713021107.6878572,2024-04-13 20:41:47.687857,2024-04-13 20:41:47
UTTARAKHAND,1792,1713021107.6878572,2024-04-13 20:41:47.687857,2024-04-13 20:41:47
UTTAR-PRADESH,21284,1713021107.6878572,2024-04-13 20:41:47.687857,2024-04-13 20:41:47
CHANDIGARH,205,1713022043.0292404,2024-04-13 20:57:23.029240,2024-04-13 20:57:23
HARYANA,7412,1713022043.0292404,2024-04-13 20:57:23.029240,2024-04-13 20:57:23
HIMACHAL,1240,1713022043.0292404,2024-04-13 20:57:23.029240,2024-04-13 20:57:23
J & K,2345,1713022043.0292404,2024-04-13 20:57:23.029240,2024-04-13 20:57:23
PUNJAB,5974,1713022043.0292404,2024-04-13 20:57:23.029240,2024-04-13 20:57:23
RAJASTHAN,9662,1713022043.0292404,2024-04-13 20:57:23.029240,2024-04-13 20:57:23
UTTARAKHAND,1769,1713022043.0292404,2024-04-13 20:57:23.029240,2024-04-13 20:57:23
UTTAR-PRADESH,21103,1713022043.0292404,2024-04-13 20:57:23.029240,2024-04-13 20:57:23
CHANDIGARH,194,1713022907.7401855,2024-04-13 21:11:47.740185,2024-04-13 21:11:47
HARYANA,7268,1713022907.7401855,2024-04-13 21:11:47.740185,2024-04-13 21:11:47
HIMACHAL,1214,1713022907.7401855,2024-04-13 21:11:47.740185,2024-04-13 21:11:47
J & K,2361,1713022907.7401855,2024-04-13 21:11:47.740185,2024-04-13 21:11:47
PUNJAB,5923,1713022907.7401855,2024-04-13 21:11:47.740185,2024-04-13 21:11:47
RAJASTHAN,9605,1713022907.7401855,2024-04-13 21:11:47.740185,2024-04-13 21:11:47
UTTARAKHAND,1843,1713022907.7401855,2024-04-13 21:11:47.740185,2024-04-13 21:11:47
UTTAR-PRADESH,21105,1713022907.7401855,2024-04-13 21:11:47.740185,2024-04-13 21:11:47
CHANDIGARH,192,1713023807.533452,2024-04-13 21:26:47.533452,2024-04-13 21:26:47
HARYANA,7350,1713023807.533452,2024-04-13 21:26:47.533452,2024-04-13 21:26:47
HIMACHAL,1240,1713023807.533452,2024-04-13 21:26:47.533452,2024-04-13 21:26:47
J & K,2281,1713023807.533452,2024-04-13 21:26:47.533452,2024-04-13 21:26:47
PUNJAB,5822,1713023807.533452,2024-04-13 21:26:47.533452,2024-04-13 21:26:47
RAJASTHAN,9496,1713023807.533452,2024-04-13 21:26:47.533452,2024-04-13 21:26:47
UTTARAKHAND,1855,1713023807.533452,2024-04-13 21:26:47.533452,2024-04-13 21:26:47
UTTAR-PRADESH,21204,1713023807.533452,2024-04-13 21:26:47.533452,2024-04-13 21:26:47
CHANDIGARH,189,1713024707.1390917,2024-04-13 21:41:47.139092,2024-04-13 21:41:47
HARYANA,7332,1713024707.1390917,2024-04-13 21:41:47.139092,2024-04-13 21:41:47
HIMACHAL,1211,1713024707.1390917,2024-04-13 21:41:47.139092,2024-04-13 21:41:47
J & K,2375,1713024707.1390917,2024-04-13 21:41:47.139092,2024-04-13 21:41:47
PUNJAB,5699,1713024707.1390917,2024-04-13 21:41:47.139092,2024-04-13 21:41:47
RAJASTHAN,9387,1713024707.1390917,2024-04-13 21:41:47.139092,2024-04-13 21:41:47
UTTARAKHAND,1759,1713024707.1390917,2024-04-13 21:41:47.139092,2024-04-13 21:41:47
UTTAR-PRADESH,21298,1713024707.1390917,2024-04-13 21:41:47.139092,2024-04-13 21:41:47
CHANDIGARH,188,1713025638.9002962,2024-04-13 21:57:18.900296,2024-04-13 21:57:18
HARYANA,7249,1713025638.9002962,2024-04-13 21:57:18.900296,2024-04-13 21:57:18
HIMACHAL,1193,1713025638.9002962,2024-04-13 21:57:18.900296,2024-04-13 21:57:18
J & K,2274,1713025638.9002962,2024-04-13 21:57:18.900296,2024-04-13 21:57:18
PUNJAB,5621,1713025638.9002962,2024-04-13 21:57:18.900296,2024-04-13 21:57:18
RAJASTHAN,9527,1713025638.9002962,2024-04-13 21:57:18.900296,2024-04-13 21:57:18
UTTARAKHAND,1743,1713025638.9002962,2024-04-13 21:57:18.900296,2024-04-13 21:57:18
UTTAR-PRADESH,21207,1713025638.9002962,2024-04-13 21:57:18.900296,2024-04-13 21:57:18
CHANDIGARH,184,1713026508.0005932,2024-04-13 22:11:48.000593,2024-04-13 22:11:48
HARYANA,7227,1713026508.0005932,2024-04-13 22:11:48.000593,2024-04-13 22:11:48
HIMACHAL,1170,1713026508.0005932,2024-04-13 22:11:48.000593,2024-04-13 22:11:48
J & K,2289,1713026508.0005932,2024-04-13 22:11:48.000593,2024-04-13 22:11:48
PUNJAB,5577,1713026508.0005932,2024-04-13 22:11:48.000593,2024-04-13 22:11:48
RAJASTHAN,9440,1713026508.0005932,2024-04-13 22:11:48.000593,2024-04-13 22:11:48
UTTARAKHAND,1651,1713026508.0005932,2024-04-13 22:11:48.000593,2024-04-13 22:11:48
UTTAR-PRADESH,21149,1713026508.0005932,2024-04-13 22:11:48.000593,2024-04-13 22:11:48
CHANDIGARH,183,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
HARYANA,7246,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
HIMACHAL,1130,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
J & K,2251,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
PUNJAB,5556,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
RAJASTHAN,9701,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
UTTARAKHAND,1763,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
UTTAR-PRADESH,21129,1713027438.9395723,2024-04-13 22:27:18.939572,2024-04-13 22:27:18
CHANDIGARH,180,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
HARYANA,7123,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
HIMACHAL,1090,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
J & K,2247,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
PUNJAB,5494,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
RAJASTHAN,9675,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
UTTARAKHAND,1747,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
UTTAR-PRADESH,21031,1713028307.8377905,2024-04-13 22:41:47.837790,2024-04-13 22:41:47
CHANDIGARH,178,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
HARYANA,6985,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
HIMACHAL,1048,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
J & K,2152,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
PUNJAB,5461,1713029238.9570782,2024-04-13 22:57:18.957078,2024-04-13 22:57:18
